epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.0341,2.7616,4.37351,1.7846,0.38944,0.10154,0.08776,0.03248,2.20006,2.90101,1.37943,0.06725,0.000330808,0.000330808
2,79.0894,2.23651,1.68761,1.40367,0.59494,0.35385,0.35403,0.12296,2.13287,1.9574,1.19458,0.034238,0.000652187,0.000652187
3,117.355,2.07626,1.27009,1.25898,0.69394,0.56615,0.59179,0.21936,2.02596,1.18507,1.14918,0.00121409,0.000961566,0.000961566
4,155.289,2.05922,1.13652,1.24084,0.74999,0.60615,0.65146,0.24134,2.1072,1.11011,1.15948,0.000946,0.000946,0.000946
5,193.295,1.96406,1.04947,1.20499,0.71109,0.60615,0.67761,0.28018,1.98839,1.00073,1.10342,0.000928,0.000928,0.000928
6,231.101,1.94828,0.96768,1.1903,0.82024,0.64,0.71924,0.29882,1.99589,0.92667,1.12896,0.00091,0.00091,0.00091
7,268.93,1.94439,0.93914,1.19902,0.76304,0.65846,0.71736,0.30567,1.92631,0.92816,1.09943,0.000892,0.000892,0.000892
8,306.167,1.90386,0.94434,1.16838,0.80018,0.64923,0.73325,0.31413,1.91961,0.93838,1.0945,0.000874,0.000874,0.000874
9,343.458,1.88983,0.91257,1.15954,0.79459,0.67692,0.74754,0.30751,1.97783,0.92258,1.1101,0.000856,0.000856,0.000856
10,380.548,1.86819,0.86788,1.14792,0.77742,0.68783,0.75643,0.33013,1.91364,0.86633,1.11392,0.000838,0.000838,0.000838
11,418.215,1.88637,0.87093,1.14916,0.80851,0.66154,0.72958,0.30635,1.99024,0.92045,1.13108,0.00082,0.00082,0.00082
12,455.346,1.82551,0.85272,1.13433,0.77238,0.68615,0.73895,0.3083,2.00117,0.87855,1.12812,0.000802,0.000802,0.000802
13,493.058,1.7967,0.81457,1.1263,0.75504,0.69234,0.74227,0.32787,1.87256,0.8632,1.09716,0.000784,0.000784,0.000784
14,530.737,1.79311,0.83941,1.11534,0.81331,0.68615,0.73397,0.32849,1.87475,0.85821,1.09108,0.000766,0.000766,0.000766
15,569.012,1.76476,0.79352,1.10886,0.77809,0.70154,0.75154,0.33484,1.88278,0.85408,1.10251,0.000748,0.000748,0.000748
16,607.103,1.74936,0.77586,1.10866,0.77088,0.71385,0.74794,0.32152,1.93061,0.8544,1.10976,0.00073,0.00073,0.00073
17,644.896,1.72245,0.74783,1.09058,0.77196,0.67705,0.72281,0.30566,1.96374,0.87424,1.11525,0.000712,0.000712,0.000712
18,682.758,1.68702,0.74878,1.07169,0.78148,0.69846,0.73741,0.30756,2.00558,0.83606,1.13222,0.000694,0.000694,0.000694
19,719.926,1.70634,0.72669,1.0733,0.80527,0.69981,0.74829,0.32315,1.93028,0.80157,1.0987,0.000676,0.000676,0.000676
20,757.178,1.69251,0.72619,1.06641,0.81341,0.70462,0.75172,0.31202,1.94925,0.84772,1.11555,0.000658,0.000658,0.000658
21,794.876,1.6686,0.71527,1.06418,0.79056,0.70769,0.76793,0.33827,1.89606,0.80027,1.09009,0.00064,0.00064,0.00064
22,832.966,1.63181,0.69929,1.04715,0.79792,0.69249,0.75931,0.31969,1.97363,0.83214,1.12747,0.000622,0.000622,0.000622
23,870.723,1.61216,0.68304,1.03819,0.77141,0.72923,0.75336,0.31061,1.96783,0.7955,1.121,0.000604,0.000604,0.000604
24,908.067,1.60234,0.66846,1.03347,0.80349,0.66769,0.75476,0.33129,1.9304,0.80284,1.10017,0.000586,0.000586,0.000586
25,945.471,1.5834,0.67296,1.01201,0.75326,0.74206,0.76789,0.30664,2.01469,0.81324,1.13821,0.000568,0.000568,0.000568
26,982.864,1.56624,0.65474,1.02276,0.79776,0.69538,0.76029,0.31472,1.99169,0.80047,1.11884,0.00055,0.00055,0.00055
27,1021.06,1.55211,0.65507,1.01396,0.75937,0.71853,0.76136,0.32476,1.97683,0.80887,1.11291,0.000532,0.000532,0.000532
28,1059.13,1.54013,0.63563,1.01137,0.78544,0.77538,0.78482,0.32912,1.97183,0.75398,1.12592,0.000514,0.000514,0.000514
29,1097.91,1.53424,0.6398,1.01428,0.79813,0.73538,0.75949,0.32771,1.96547,0.77894,1.11466,0.000496,0.000496,0.000496
30,1135.7,1.50582,0.63335,1.0023,0.80566,0.70157,0.76007,0.3316,1.95957,0.7914,1.12367,0.000478,0.000478,0.000478
31,1175.4,1.48551,0.62372,0.99879,0.83368,0.70946,0.77274,0.31945,1.94061,0.77966,1.11322,0.00046,0.00046,0.00046
