epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.0902,2.70441,4.08392,1.72866,0.40202,0.33512,0.24673,0.08515,2.35604,1.78763,1.3679,0.06725,0.000330808,0.000330808
2,79.1564,2.1872,1.60698,1.3273,0.56769,0.50462,0.46625,0.16759,2.16133,1.2601,1.19136,0.034238,0.000652187,0.000652187
3,117.439,2.08235,1.23088,1.24485,0.67528,0.56923,0.57409,0.22527,2.10206,1.10349,1.17499,0.00121409,0.000961566,0.000961566
4,155.934,2.04724,1.11015,1.21319,0.70394,0.55385,0.5751,0.22293,2.11188,0.98994,1.15697,0.000946,0.000946,0.000946
5,194.859,1.98399,1.03333,1.18918,0.68873,0.66039,0.68274,0.27137,2.05908,0.98689,1.11757,0.000928,0.000928,0.000928
6,232.806,1.9635,0.98191,1.16864,0.74878,0.64308,0.67335,0.26929,2.05782,0.96083,1.11914,0.00091,0.00091,0.00091
7,271.533,1.9796,0.94463,1.1849,0.8134,0.61846,0.70847,0.29747,1.98197,0.94108,1.10903,0.000892,0.000892,0.000892
8,310.904,1.92869,0.93787,1.16156,0.7842,0.64,0.70518,0.30191,1.98601,0.96578,1.12844,0.000874,0.000874,0.000874
9,350.3,1.89128,0.90508,1.14311,0.80437,0.68316,0.70364,0.29828,1.98707,0.86206,1.1331,0.000856,0.000856,0.000856
10,389.128,1.89432,0.87433,1.12843,0.79212,0.71077,0.75394,0.32595,1.93863,0.88282,1.10619,0.000838,0.000838,0.000838
11,427.106,1.87492,0.85245,1.13116,0.80905,0.69538,0.70145,0.29081,1.98277,0.87046,1.1394,0.00082,0.00082,0.00082
12,465.137,1.83779,0.81539,1.11935,0.76417,0.69846,0.71547,0.30591,1.9756,0.88364,1.11493,0.000802,0.000802,0.000802
13,503.052,1.81162,0.80493,1.12228,0.80718,0.69556,0.73714,0.31171,1.93308,0.84812,1.10411,0.000784,0.000784,0.000784
14,540.923,1.79282,0.808,1.10535,0.81699,0.70054,0.74173,0.31267,1.9445,0.83734,1.09902,0.000766,0.000766,0.000766
15,579.109,1.7586,0.77756,1.09358,0.7769,0.67385,0.72677,0.31233,1.9747,0.8634,1.11332,0.000748,0.000748,0.000748
16,616.684,1.76135,0.77022,1.09937,0.78725,0.70154,0.73015,0.30654,2.00663,0.8407,1.13654,0.00073,0.00073,0.00073
17,657.208,1.74191,0.74686,1.08412,0.79672,0.66327,0.71372,0.29623,2.02112,0.83923,1.12665,0.000712,0.000712,0.000712
18,695.713,1.68773,0.72884,1.06202,0.8019,0.70769,0.74682,0.31345,1.96882,0.79505,1.12292,0.000694,0.000694,0.000694
19,733.894,1.69524,0.72621,1.05897,0.79767,0.70462,0.7445,0.30222,2.01636,0.8552,1.12793,0.000676,0.000676,0.000676
20,772.042,1.69491,0.72664,1.04904,0.79726,0.69846,0.73332,0.30407,2.01408,0.84236,1.14185,0.000658,0.000658,0.000658
