epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.3045,2.51489,5.02673,1.49278,0.00393,0.44615,0.00367,0.00141,2.07931,3.61644,1.16534,0.06725,0.000330808,0.000330808
2,33.4455,2.21529,3.03446,1.34305,0.48813,0.40615,0.38045,0.14022,2.17049,1.8247,1.22074,0.034238,0.000652187,0.000652187
3,49.3313,2.1572,1.91701,1.31918,0.55055,0.52767,0.47735,0.18295,2.04026,1.44988,1.17695,0.00121409,0.000961566,0.000961566
4,66.0952,2.07525,1.64848,1.2452,0.64292,0.56509,0.52758,0.17641,2.12157,1.26964,1.19169,0.000946,0.000946,0.000946
5,80.6549,2.03663,1.54717,1.233,0.63636,0.6,0.5444,0.21487,1.99024,1.21754,1.13508,0.000928,0.000928,0.000928
6,94.9259,1.99269,1.41872,1.20839,0.69254,0.58154,0.60931,0.24695,1.95569,1.12716,1.11445,0.00091,0.00091,0.00091
7,110.263,2.004,1.3948,1.2016,0.65306,0.6,0.58218,0.24044,1.93926,1.13944,1.12088,0.000892,0.000892,0.000892
8,124.995,1.98283,1.34283,1.18491,0.70908,0.61538,0.65732,0.25923,1.97925,1.10263,1.09277,0.000874,0.000874,0.000874
9,139.7,1.97208,1.29387,1.17209,0.66314,0.64615,0.63608,0.25358,1.96044,1.04741,1.11345,0.000856,0.000856,0.000856
10,153.694,1.97277,1.28073,1.15545,0.65146,0.60387,0.61585,0.25106,1.97416,1.12382,1.11461,0.000838,0.000838,0.000838
11,167.773,1.97242,1.24241,1.18016,0.72696,0.59692,0.64627,0.26414,1.95094,1.03615,1.10942,0.00082,0.00082,0.00082
12,181.642,1.92221,1.22553,1.14966,0.74118,0.61679,0.6622,0.27404,1.97565,1.05547,1.11225,0.000802,0.000802,0.000802
13,195.834,1.91006,1.19188,1.14843,0.71122,0.65172,0.6749,0.28285,1.92744,1.01108,1.0919,0.000784,0.000784,0.000784
14,209.792,1.93346,1.20356,1.14861,0.71947,0.63385,0.64692,0.27125,1.95021,1.01306,1.09752,0.000766,0.000766,0.000766
15,223.864,1.90441,1.18184,1.14512,0.76786,0.64615,0.66242,0.26368,2.0055,1.03983,1.13321,0.000748,0.000748,0.000748
16,238.13,1.89262,1.14561,1.14692,0.74754,0.62864,0.67002,0.28004,1.92373,1.03,1.10142,0.00073,0.00073,0.00073
17,252.58,1.88119,1.11787,1.13339,0.71959,0.64746,0.6721,0.27549,1.95261,1.04321,1.10965,0.000712,0.000712,0.000712
18,266.607,1.86172,1.13094,1.1389,0.782,0.66223,0.67928,0.27362,1.94595,1.01116,1.11129,0.000694,0.000694,0.000694
19,282.654,1.87479,1.12458,1.13324,0.71837,0.62462,0.66106,0.27557,1.98095,1.04194,1.11856,0.000676,0.000676,0.000676
20,296.575,1.89467,1.11549,1.12636,0.72224,0.63385,0.62004,0.23896,2.08444,1.06212,1.15511,0.000658,0.000658,0.000658
21,312.079,1.86798,1.0928,1.12145,0.82008,0.63692,0.69994,0.29475,1.92356,0.97552,1.1064,0.00064,0.00064,0.00064
22,329.861,1.83297,1.0683,1.10421,0.72918,0.63793,0.65081,0.27288,1.96366,0.97569,1.11401,0.000622,0.000622,0.000622
23,346.259,1.83049,1.0512,1.10987,0.73435,0.64642,0.67865,0.2864,1.95574,1.01564,1.09776,0.000604,0.000604,0.000604
24,360.562,1.83043,1.03693,1.11449,0.78861,0.61846,0.68195,0.27889,1.96526,0.98571,1.10172,0.000586,0.000586,0.000586
25,374.478,1.80591,1.03273,1.09336,0.81463,0.63553,0.67972,0.28234,1.98809,0.96575,1.11121,0.000568,0.000568,0.000568
26,388.339,1.79078,0.98764,1.10471,0.72051,0.66462,0.68291,0.28524,1.9413,0.97858,1.09751,0.00055,0.00055,0.00055
27,402.552,1.80365,1.00614,1.10072,0.78271,0.68,0.72112,0.30531,1.9263,0.93453,1.09241,0.000532,0.000532,0.000532
28,416.737,1.79333,0.98166,1.08991,0.78916,0.65231,0.68061,0.28539,1.99299,0.9464,1.10873,0.000514,0.000514,0.000514
29,430.997,1.79877,0.98428,1.09987,0.76659,0.64676,0.66491,0.2633,1.99259,0.96966,1.11406,0.000496,0.000496,0.000496
30,445.095,1.77608,0.99164,1.08487,0.78207,0.63692,0.67977,0.28284,1.94361,0.93755,1.09296,0.000478,0.000478,0.000478
31,459.512,1.76778,0.97728,1.08591,0.76813,0.60615,0.62065,0.2647,1.97429,0.95419,1.10966,0.00046,0.00046,0.00046
32,473.709,1.79661,0.97776,1.09484,0.69337,0.66098,0.64998,0.28738,1.93131,0.95387,1.10509,0.000442,0.000442,0.000442
33,487.981,1.77749,0.96415,1.07827,0.77228,0.64698,0.66412,0.26836,2.00444,0.92545,1.11569,0.000424,0.000424,0.000424
34,501.861,1.73445,0.94164,1.07069,0.79356,0.64923,0.67441,0.28615,1.94485,0.91698,1.09178,0.000406,0.000406,0.000406
35,516.503,1.75851,0.94865,1.08518,0.73443,0.67385,0.66926,0.2843,1.97485,0.92168,1.10282,0.000388,0.000388,0.000388
36,531.687,1.7564,0.9473,1.07817,0.75038,0.65231,0.6727,0.28866,1.98138,0.92232,1.10987,0.00037,0.00037,0.00037
37,549.61,1.7533,0.93515,1.07357,0.78851,0.64,0.67183,0.2865,1.9728,0.92161,1.10162,0.000352,0.000352,0.000352
