epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.6554,2.45667,4.93626,1.50683,0.00531,0.60308,0.0102,0.00423,2.06353,3.45896,1.21208,0.06725,0.000330808,0.000330808
2,34.9259,2.22752,2.71399,1.37093,0.54353,0.45231,0.40283,0.14506,2.16616,1.72042,1.23309,0.034238,0.000652187,0.000652187
3,50.0981,2.14228,1.77937,1.32662,0.61716,0.51385,0.52224,0.18812,2.06491,1.32991,1.2157,0.00121409,0.000961566,0.000961566
4,64.4389,2.09844,1.56403,1.28334,0.64191,0.56,0.54851,0.19981,2.07283,1.2173,1.19386,0.000946,0.000946,0.000946
5,80.1888,2.05492,1.52057,1.25523,0.68769,0.62462,0.59849,0.24101,1.96518,1.14936,1.14433,0.000928,0.000928,0.000928
6,95.1548,2.01028,1.39928,1.22909,0.69342,0.62769,0.60403,0.2286,2.05993,1.1245,1.1789,0.00091,0.00091,0.00091
7,110.169,2.02143,1.36104,1.22975,0.7317,0.64308,0.64284,0.24445,1.99736,1.09128,1.13793,0.000892,0.000892,0.000892
8,125.151,1.97926,1.33947,1.19562,0.74799,0.59077,0.63235,0.24973,2.01888,1.12893,1.1316,0.000874,0.000874,0.000874
9,140.838,1.97406,1.29496,1.19436,0.74952,0.61846,0.6407,0.24663,2.02044,1.0847,1.14154,0.000856,0.000856,0.000856
10,156.133,1.97178,1.2722,1.17612,0.71521,0.6259,0.66766,0.26546,1.98343,1.12117,1.12673,0.000838,0.000838,0.000838
11,171.386,1.98119,1.24,1.19667,0.72609,0.61538,0.63071,0.25,2.01186,1.02051,1.14049,0.00082,0.00082,0.00082
12,186.156,1.9419,1.22182,1.18483,0.67677,0.62769,0.63003,0.26022,1.98324,1.04992,1.11899,0.000802,0.000802,0.000802
13,201.533,1.92522,1.1929,1.17545,0.7728,0.61748,0.66163,0.26775,1.96341,0.99546,1.12553,0.000784,0.000784,0.000784
14,217.786,1.94292,1.20362,1.16723,0.72307,0.63077,0.64253,0.26828,1.98349,0.97914,1.12658,0.000766,0.000766,0.000766
15,233.846,1.92101,1.16328,1.1686,0.74711,0.64923,0.66278,0.26652,1.97599,1.01548,1.12455,0.000748,0.000748,0.000748
16,249.627,1.89287,1.13768,1.16361,0.73599,0.63077,0.66282,0.27281,1.96964,0.97669,1.1251,0.00073,0.00073,0.00073
17,264.661,1.88767,1.12703,1.15858,0.76102,0.62462,0.64256,0.24528,2.00364,1.02361,1.13631,0.000712,0.000712,0.000712
18,280.942,1.88701,1.1261,1.16475,0.75933,0.61538,0.6488,0.25516,2.03702,1.00125,1.14067,0.000694,0.000694,0.000694
19,295.658,1.89367,1.12405,1.14968,0.73565,0.61846,0.63647,0.24724,2.03971,1.01036,1.1416,0.000676,0.000676,0.000676
20,310.019,1.88448,1.09908,1.13726,0.7376,0.61231,0.62403,0.24688,2.02758,1.03542,1.1576,0.000658,0.000658,0.000658
21,324.49,1.86856,1.08998,1.15103,0.78981,0.65903,0.68473,0.28581,1.95342,0.97728,1.10869,0.00064,0.00064,0.00064
22,338.684,1.86794,1.07097,1.13555,0.71079,0.62769,0.62908,0.25234,2.03211,0.98592,1.14856,0.000622,0.000622,0.000622
23,352.889,1.83765,1.05325,1.13406,0.78158,0.66063,0.67813,0.27165,1.98225,0.96095,1.1276,0.000604,0.000604,0.000604
24,367.915,1.85673,1.02597,1.15271,0.79672,0.63692,0.69612,0.27919,1.97452,0.95466,1.11671,0.000586,0.000586,0.000586
25,382.609,1.8099,1.02781,1.11841,0.77297,0.65538,0.68302,0.251,2.07252,0.97075,1.16532,0.000568,0.000568,0.000568
26,397.351,1.79327,0.9935,1.12328,0.76205,0.63385,0.66278,0.24971,2.03531,0.99219,1.14471,0.00055,0.00055,0.00055
27,411.973,1.79725,0.99607,1.11155,0.71832,0.62769,0.64794,0.24277,2.06127,0.99829,1.16396,0.000532,0.000532,0.000532
28,429.102,1.81091,0.98596,1.116,0.77393,0.64,0.69294,0.26871,2.01016,0.94442,1.13199,0.000514,0.000514,0.000514
29,448.291,1.78717,0.97559,1.10788,0.76707,0.61538,0.65793,0.26151,1.9857,0.95466,1.12513,0.000496,0.000496,0.000496
30,465.906,1.77862,0.97584,1.10566,0.71277,0.64902,0.64814,0.25564,2.02433,0.98001,1.14764,0.000478,0.000478,0.000478
31,480.946,1.76486,0.97524,1.10063,0.69063,0.61846,0.62838,0.24336,2.07991,0.98362,1.15276,0.00046,0.00046,0.00046
