epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.7793,2.8106,6.1076,1.77315,0.54734,0.34154,0.32406,0.12102,2.16777,1.72434,1.32193,0.06725,0.000330808,0.000330808
2,44.8159,2.26849,1.67444,1.43625,0.56688,0.45104,0.45057,0.16185,2.18092,1.44691,1.20292,0.034238,0.000652187,0.000652187
3,65.4285,2.12495,1.3085,1.24671,0.74837,0.54462,0.59999,0.24415,2.0452,1.08877,1.16047,0.00121409,0.000961566,0.000961566
4,85.9332,2.08225,1.1594,1.21268,0.69766,0.6,0.5854,0.23459,2.04009,1.09281,1.13813,0.000946,0.000946,0.000946
5,106.167,2.00437,1.08917,1.16368,0.7354,0.64615,0.65998,0.27126,1.97544,1.00878,1.12058,0.000928,0.000928,0.000928
6,127.807,1.9873,1.02189,1.15928,0.74731,0.66428,0.67316,0.27042,2.00754,0.98991,1.1052,0.00091,0.00091,0.00091
7,151.457,1.98919,0.98467,1.15943,0.72031,0.59434,0.65472,0.26062,1.96118,1.06659,1.07958,0.000892,0.000892,0.000892
8,173.602,1.94908,0.99719,1.12472,0.77137,0.63692,0.69746,0.29418,1.94873,0.97882,1.09113,0.000874,0.000874,0.000874
9,196.948,1.92482,0.94704,1.12222,0.78011,0.66462,0.70122,0.28705,1.94012,0.99027,1.09013,0.000856,0.000856,0.000856
10,219.867,1.92175,0.92327,1.11437,0.7475,0.64675,0.6984,0.2849,1.94379,1.00752,1.08574,0.000838,0.000838,0.000838
11,242.482,1.90881,0.91987,1.10514,0.78834,0.65322,0.69529,0.28635,1.92096,0.98442,1.08814,0.00082,0.00082,0.00082
12,264.611,1.88226,0.91978,1.0988,0.74507,0.68,0.72019,0.28799,1.9618,1.0109,1.08163,0.000802,0.000802,0.000802
13,285.55,1.87613,0.87923,1.09625,0.77914,0.71077,0.71996,0.29909,1.98019,0.91826,1.09529,0.000784,0.000784,0.000784
14,307.032,1.86695,0.91246,1.09171,0.76166,0.68923,0.72428,0.28321,1.96471,0.95649,1.08765,0.000766,0.000766,0.000766
15,327.677,1.84845,0.87358,1.09528,0.69887,0.6784,0.67596,0.26998,1.99978,0.99529,1.09782,0.000748,0.000748,0.000748
16,349.57,1.81732,0.86182,1.08649,0.79854,0.67385,0.72252,0.29386,1.94035,0.91084,1.0813,0.00073,0.00073,0.00073
17,371.88,1.8161,0.82837,1.071,0.77394,0.70154,0.72186,0.29822,1.96074,0.87482,1.08179,0.000712,0.000712,0.000712
18,392.336,1.78677,0.8307,1.0676,0.79906,0.7097,0.72816,0.29555,1.9673,0.87372,1.1015,0.000694,0.000694,0.000694
19,412.697,1.78391,0.81638,1.06596,0.80384,0.66769,0.70781,0.30958,1.93836,0.87309,1.0807,0.000676,0.000676,0.000676
20,433.047,1.78702,0.81138,1.06157,0.7946,0.68308,0.74506,0.31416,1.95989,0.87255,1.09817,0.000658,0.000658,0.000658
21,453.739,1.75823,0.80395,1.05348,0.79707,0.71306,0.74368,0.32033,1.93816,0.89356,1.0802,0.00064,0.00064,0.00064
22,474.742,1.74842,0.78145,1.04814,0.79078,0.72308,0.73766,0.30398,1.96821,0.90184,1.09929,0.000622,0.000622,0.000622
23,497.04,1.71699,0.77584,1.04672,0.83485,0.70154,0.74964,0.32125,1.93611,0.87318,1.09484,0.000604,0.000604,0.000604
24,519.852,1.72967,0.76603,1.05034,0.78731,0.69846,0.74845,0.31659,1.92363,0.8715,1.08014,0.000586,0.000586,0.000586
25,542.115,1.67535,0.7456,1.02811,0.81771,0.67385,0.75677,0.31354,1.9754,0.87636,1.0911,0.000568,0.000568,0.000568
26,565.158,1.67352,0.73066,1.03275,0.83335,0.66769,0.7493,0.30485,1.9929,0.89352,1.09731,0.00055,0.00055,0.00055
27,588.386,1.68212,0.73822,1.03543,0.78955,0.68108,0.70984,0.28968,2.01988,0.88705,1.10609,0.000532,0.000532,0.000532
28,609.387,1.67755,0.72695,1.02631,0.8045,0.70769,0.73691,0.2981,1.99536,0.86685,1.09433,0.000514,0.000514,0.000514
29,630.128,1.65168,0.72492,1.02084,0.82933,0.66154,0.72531,0.30525,1.95186,0.83225,1.08101,0.000496,0.000496,0.000496
30,650.972,1.65745,0.72584,1.01597,0.80784,0.69231,0.73812,0.30968,1.97498,0.86095,1.09457,0.000478,0.000478,0.000478
31,671.572,1.62119,0.71738,1.0156,0.814,0.67328,0.7212,0.299,1.98786,0.8524,1.09654,0.00046,0.00046,0.00046
32,692.109,1.64173,0.71164,1.01342,0.8047,0.67195,0.7345,0.30951,1.9804,0.8451,1.0879,0.000442,0.000442,0.000442
33,713.233,1.61247,0.70095,1.00216,0.83242,0.65846,0.73533,0.3067,2.01004,0.84275,1.10983,0.000424,0.000424,0.000424
