epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.809,2.73025,6.2051,1.67837,0.41311,0.35077,0.26126,0.08697,2.22214,1.96248,1.31254,0.06725,0.000330808,0.000330808
2,47.5852,2.25579,1.63027,1.37369,0.60655,0.44589,0.44332,0.14249,2.23342,1.52361,1.20469,0.034238,0.000652187,0.000652187
3,69.7583,2.12112,1.28556,1.22482,0.65865,0.54462,0.57941,0.20737,2.09294,1.177,1.15023,0.00121409,0.000961566,0.000961566
4,90.2274,2.08156,1.16945,1.18841,0.73271,0.58769,0.60911,0.21395,2.07462,1.0487,1.14014,0.000946,0.000946,0.000946
5,111.072,2.01109,1.09797,1.16805,0.70033,0.65846,0.65642,0.26501,1.99928,0.9995,1.12226,0.000928,0.000928,0.000928
6,131.86,1.99557,1.01549,1.15618,0.74237,0.6029,0.64682,0.24793,2.12903,0.97132,1.13509,0.00091,0.00091,0.00091
7,153.095,1.98704,1.00553,1.1396,0.71875,0.6212,0.64073,0.25654,1.96438,1.03214,1.09012,0.000892,0.000892,0.000892
8,174.151,1.95126,1.01033,1.11674,0.76152,0.63692,0.69486,0.28624,1.96495,0.95504,1.08564,0.000874,0.000874,0.000874
9,194.86,1.94633,0.97806,1.11904,0.80637,0.65351,0.6998,0.27353,2.0585,0.95788,1.11967,0.000856,0.000856,0.000856
10,216.518,1.91811,0.95868,1.09933,0.76903,0.65566,0.70983,0.28177,2.018,0.99966,1.09809,0.000838,0.000838,0.000838
11,236.955,1.9196,0.93124,1.10889,0.76981,0.67913,0.71328,0.28936,1.97054,0.95025,1.08925,0.00082,0.00082,0.00082
12,257.737,1.8963,0.92339,1.09912,0.80836,0.64923,0.71044,0.29686,1.99701,0.92418,1.09682,0.000802,0.000802,0.000802
13,278.752,1.87207,0.89898,1.09376,0.79503,0.65231,0.72767,0.30091,1.97809,0.91106,1.09892,0.000784,0.000784,0.000784
14,299.755,1.88286,0.92063,1.10013,0.78525,0.64308,0.70959,0.28657,1.98909,0.93103,1.09772,0.000766,0.000766,0.000766
15,320.777,1.86864,0.88139,1.09726,0.78593,0.64,0.69327,0.27985,2.00262,0.94616,1.09853,0.000748,0.000748,0.000748
16,341.259,1.82424,0.86727,1.07852,0.80065,0.67077,0.73371,0.29423,1.95952,0.89361,1.08128,0.00073,0.00073,0.00073
17,361.95,1.83329,0.85577,1.07575,0.79282,0.67692,0.71794,0.29959,1.96088,0.8769,1.08198,0.000712,0.000712,0.000712
18,382.706,1.80021,0.82233,1.07101,0.78581,0.68615,0.7075,0.27631,2.04591,0.89171,1.11864,0.000694,0.000694,0.000694
19,403.267,1.78978,0.82001,1.06744,0.82729,0.67798,0.73817,0.30336,1.9784,0.8579,1.08893,0.000676,0.000676,0.000676
20,424.146,1.81137,0.80654,1.06137,0.78408,0.67039,0.72641,0.29156,1.99779,0.85531,1.09407,0.000658,0.000658,0.000658
21,444.868,1.7566,0.79778,1.04601,0.79822,0.68308,0.7294,0.29858,1.99585,0.86747,1.08387,0.00064,0.00064,0.00064
22,466.15,1.76794,0.78073,1.04844,0.7966,0.70462,0.75599,0.30048,2.01214,0.85084,1.10321,0.000622,0.000622,0.000622
23,489.217,1.72657,0.77838,1.04525,0.78417,0.68615,0.71925,0.27984,2.0494,0.86102,1.11238,0.000604,0.000604,0.000604
24,511.093,1.73191,0.77007,1.04462,0.8155,0.71692,0.74966,0.29261,1.99704,0.84409,1.09128,0.000586,0.000586,0.000586
25,533.183,1.70064,0.75605,1.02843,0.80314,0.66532,0.7082,0.27909,2.06398,0.84639,1.11742,0.000568,0.000568,0.000568
26,555.462,1.69772,0.7306,1.03533,0.76718,0.71692,0.72772,0.28929,2.02463,0.84266,1.1024,0.00055,0.00055,0.00055
27,578.136,1.69873,0.74252,1.02987,0.75028,0.70257,0.70473,0.26968,2.05602,0.85621,1.10861,0.000532,0.000532,0.000532
28,599.499,1.67916,0.73668,1.02178,0.80317,0.69538,0.72137,0.28345,2.02386,0.82598,1.10032,0.000514,0.000514,0.000514
29,620.864,1.6699,0.72459,1.02185,0.80037,0.69083,0.72024,0.28639,2.04732,0.86429,1.10683,0.000496,0.000496,0.000496
